MANDANT,OBJECTCLAS,OBJECTID,CHANGENR,TABNAME,TABKEY,FNAME,CHNGIND,TEXT_CASE,UNIT_OLD,UNIT_NEW,CUKY_OLD,CUKY_NEW,VALUE_NEW,VALUE_OLD,_DATAAGING
083,VERKBELEG,1700007510,0003291008,VBAK,0831700007510,CMFRE,U,1,,,,,20260218,00000000,
083,VERKBELEG,1700007510,0003291008,VBAK,0831700007510,CMGST,U,1,,,,,D,B,
083,VERKBELEG,1700007510,0003343510,KONVC,000010005001ZCMI,KBETR,U,1,,,US4,US4,6700.00,8700.00,
083,VERKBELEG,1700007510,0003343510,KONVC,000010775001ZMP1,KBETR,U,1,,,US4,US4,8900.00,6498.09,
083,VERKBELEG,1700007510,0003343510,VBAK,0831700007510,CMNGV,U,1,,,,,00000000,20260218,
083,VERKBELEG,1700007510,0003343510,VBAK,0831700007510,CMNUP,U,1,,,,,00000000,20260219,
083,VERKBELEG,1700007510,0003343510,VBAP,0831700007510000010,CMPRE,U,1,,,USD,USD,67.00,87.00,
083,VERKBELEG,1700007510,0003343510,VBAP,0831700007510000010,CMPRE_FLT,U,1,USD,USD,,,6.7000000000000000E+01,8.7000000000000000E+01,
083,VERKBELEG,1700007510,0003343510,VBAP,0831700007510000010,NETPR,U,1,,,USD,USD,67.00,87.00,
083,VERKBELEG,1700007511,0003291025,VBAK,0831700007511,AMTBL,U,1,,,USD,USD,8700.00,0.00,
083,VERKBELEG,1700007511,0003291025,VBAK,0831700007511,CMFRE,U,1,,,,,20260218,00000000,
083,VERKBELEG,1700007511,0003291025,VBAK,0831700007511,CMGST,U,1,,,,,D,B,
083,VERKBELEG,1700007511,0003343511,KONVC,000010005001ZCMI,KBETR,U,1,,,US4,US4,6700.00,8700.00,
083,VERKBELEG,1700007511,0003343511,KONVC,000010775001ZMP1,KBETR,U,1,,,US4,US4,8900.00,6498.09,
083,VERKBELEG,1700007511,0003343511,VBAK,0831700007511,CMNGV,U,1,,,,,00000000,20260218,
083,VERKBELEG,1700007511,0003343511,VBAK,0831700007511,CMNUP,U,1,,,,,00000000,20260219,
083,VERKBELEG,1700007511,0003343511,VBAP,0831700007511000010,CMPRE,U,1,,,USD,USD,67.00,87.00,
083,VERKBELEG,1700007511,0003343511,VBAP,0831700007511000010,CMPRE_FLT,U,1,USD,USD,,,6.7000000000000000E+01,8.7000000000000000E+01,
083,VERKBELEG,1700007511,0003343511,VBAP,0831700007511000010,NETPR,U,1,,,USD,USD,67.00,87.00,
083,VERKBELEG,1700007512,0003291106,KONVC,000010620001VPRS,KBETR,U,1,,,USD,USD,98.10,98.71,
083,VERKBELEG,1700007512,0003291106,VBAP,0831700007512000010,CMPRE,U,1,,,USD,USD,0.00,91.00,
083,VERKBELEG,1700007512,0003291106,VBAP,0831700007512000010,CMPRE_FLT,U,1,USD,USD,,,3.0333333333333332E-03,9.1000000000000000E+01,
083,VERKBELEG,1700007512,0003291106,VBAP,0831700007512000010,LGORT,U,1,,,,,FINV,INTR,
083,VERKBELEG,1700007512,0003291121,VBAK,0831700007512,AMTBL,U,1,,,USD,USD,91.00,0.00,
083,VERKBELEG,1700007512,0003291121,VBAK,0831700007512,CMFRE,U,1,,,,,20260218,00000000,
083,VERKBELEG,1700007512,0003291121,VBAK,0831700007512,CMGST,U,1,,,,,D,B,
083,VERKBELEG,1700007512,0003291121,VBAP,0831700007512000010,CMPRE,U,1,,,USD,USD,91.00,0.00,
083,VERKBELEG,1700007512,0003291121,VBAP,0831700007512000010,CMPRE_FLT,U,1,USD,USD,,,9.1000000000000000E+01,3.0333333333333332E-03,
083,VERKBELEG,1700007512,0003343512,KONVC,000010620001VPRS,KBETR,U,1,,,USD,USD,65.41,98.10,
083,VERKBELEG,1700007512,0003343512,KONVC,000010775001ZMP1,KBETR,U,1,,,US4,US4,10212.72,9325.26,
083,VERKBELEG,1700007512,0003343512,VBAK,0831700007512,CMGST,U,1,,,,,A,D,
083,VERKBELEG,1700007512,0003343512,VBAK,0831700007512,CMNUP,U,1,,,,,20260414,20260219,
083,VERKBELEG,1700007513,0003291122,VBAK,0831700007513,AMTBL,U,1,,,USD,USD,2730000.00,0.00,
083,VERKBELEG,1700007513,0003291122,VBAK,0831700007513,CMFRE,U,1,,,,,20260218,00000000,
083,VERKBELEG,1700007513,0003291122,VBAK,0831700007513,CMGST,U,1,,,,,D,B,
083,VERKBELEG,1700007513,0003291125,KONVC,000010620001VPRS,KBETR,U,1,,,USD,USD,97.58,98.10,
083,VERKBELEG,1700007513,0003291125,VBAP,0831700007513000010,CMPRE,U,1,,,USD,USD,0.00,91.00,
083,VERKBELEG,1700007513,0003291125,VBAP,0831700007513000010,CMPRE_FLT,U,1,USD,USD,,,3.0333333333333332E-03,9.1000000000000000E+01,
083,VERKBELEG,1700007513,0003291125,VBAP,0831700007513000010,LGORT,U,1,,,,,FINV,INTR,
083,VERKBELEG,1700007513,0003343516,KONVC,000010775001ZMP1,KBETR,U,1,,,US4,US4,10212.72,9325.26,
083,VERKBELEG,1700007514,0003291130,VBAK,0831700007514,AMTBL,U,1,,,USD,USD,91.00,0.00,
083,VERKBELEG,1700007514,0003291130,VBAK,0831700007514,CMFRE,U,1,,,,,20260218,00000000,
083,VERKBELEG,1700007514,0003291130,VBAK,0831700007514,CMGST,U,1,,,,,D,B,
083,VERKBELEG,1700007514,0003291130,VBAP,0831700007514000010,CMPRE,U,1,,,USD,USD,91.00,0.00,
083,VERKBELEG,1700007514,0003291130,VBAP,0831700007514000010,CMPRE_FLT,U,1,USD,USD,,,9.1000000000000000E+01,3.5000000000000001E-03,
083,VERKBELEG,1700007514,0003343517,KONVC,000010775001ZMP1,KBETR,U,1,,,US4,US4,10212.72,9325.26,
083,VERKBELEG,1700007515,0003321954,KONVC,000010775001ZMP1,KBETR,U,1,,,US4,US4,220.00,6498.09,
083,VERKBELEG,1700007515,0003321954,VBAK,0831700007515,CMNUP,U,1,,,,,20260329,20260219,
083,VERKBELEG,1700007515,0003333857,KONVC,000010775001ZMP1,KBETR,U,1,,,US4,US4,0.00,220.00,
083,VERKBELEG,1700007515,0003333857,VBAK,0831700007515,CMNUP,U,1,,,,,20260411,20260329,
083,VERKBELEG,1700007515,0003333857,VBAK,0831700007515,UVVLS,U,1,,,,,A,C,
083,VERKBELEG,1700007515,0003336749,VBAK,0831700007515,CMNUP,U,1,,,,,20260412,20260411,
083,VERKBELEG,1700007515,0003339644,VBAK,0831700007515,CMNUP,U,1,,,,,20260413,20260412,
083,VERKBELEG,1700007515,0003343406,KONVC,000010620001VPRS,KBETR,U,1,,,USD,USD,72.77,71.65,
083,VERKBELEG,1700007515,0003343406,KONVC,000010775001ZMP1,KBETR,U,1,,,US4,US4,8900.00,0.00,
083,VERKBELEG,1700007515,0003343406,VBAK,0831700007515,CMNUP,U,1,,,,,20260414,20260413,
083,VERKBELEG,1700007515,0003343406,VBAK,0831700007515,UVVLS,U,1,,,,,C,A,
083,VERKBELEG,1700007515,0003348830,VBAK,0831700007515,CMNUP,U,1,,,,,20260419,20260414,
083,VERKBELEG,1700007515,0003351170,VBAK,0831700007515,CMNUP,U,1,,,,,20260420,20260419,
083,VERKBELEG,1700007515,0003362342,VBAK,0831700007515,CMNUP,U,1,,,,,20260426,20260420,
083,VERKBELEG,1700007515,0003364745,VBAK,0831700007515,CMNUP,U,1,,,,,20260427,20260426,
083,VERKBELEG,1700007515,0003393784,VBAK,0831700007515,CMNUP,U,1,,,,,20260511,20260427,
083,VERKBELEG,1700007515,0003397213,VBAK,0831700007515,CMNUP,U,1,,,,,20260517,20260511,
083,VERKBELEG,1700007515,0003399605,VBAK,0831700007515,CMNUP,U,1,,,,,20260518,20260517,
083,VERKBELEG,1700007516,0003321956,KONVC,000010775001ZMP1,KBETR,U,1,,,US4,US4,220.00,6498.09,
083,VERKBELEG,1700007516,0003321956,VBAK,0831700007516,CMNUP,U,1,,,,,20260329,20260219,
083,VERKBELEG,1700007516,0003333860,KONVC,000010775001ZMP1,KBETR,U,1,,,US4,US4,0.00,220.00,
083,VERKBELEG,1700007516,0003333860,VBAK,0831700007516,CMNUP,U,1,,,,,20260411,20260329,
083,VERKBELEG,1700007516,0003333860,VBAK,0831700007516,UVVLS,U,1,,,,,A,C,
083,VERKBELEG,1700007516,0003336754,VBAK,0831700007516,CMNUP,U,1,,,,,20260412,20260411,
083,VERKBELEG,1700007516,0003339645,VBAK,0831700007516,CMNUP,U,1,,,,,20260413,20260412,
083,VERKBELEG,1700007516,0003343407,KONVC,000010620001VPRS,KBETR,U,1,,,USD,USD,72.77,71.65,
083,VERKBELEG,1700007516,0003343407,KONVC,000010775001ZMP1,KBETR,U,1,,,US4,US4,8900.00,0.00,
083,VERKBELEG,1700007516,0003343407,VBAK,0831700007516,CMNUP,U,1,,,,,20260414,20260413,
083,VERKBELEG,1700007516,0003343407,VBAK,0831700007516,UVVLS,U,1,,,,,C,A,
083,VERKBELEG,1700007516,0003348832,VBAK,0831700007516,CMNUP,U,1,,,,,20260419,20260414,
083,VERKBELEG,1700007516,0003351173,VBAK,0831700007516,CMNUP,U,1,,,,,20260420,20260419,
083,VERKBELEG,1700007516,0003362347,VBAK,0831700007516,CMNUP,U,1,,,,,20260426,20260420,
083,VERKBELEG,1700007516,0003364747,VBAK,0831700007516,CMNUP,U,1,,,,,20260427,20260426,
083,VERKBELEG,1700007516,0003393787,VBAK,0831700007516,CMNUP,U,1,,,,,20260511,20260427,
083,VERKBELEG,1700007516,0003397218,VBAK,0831700007516,CMNUP,U,1,,,,,20260517,20260511,
083,VERKBELEG,1700007516,0003399608,VBAK,0831700007516,CMNUP,U,1,,,,,20260518,20260517,
083,VERKBELEG,1700007517,0003291194,VBAP,0831700007517000010,OIC_ADESTN,U,1,,,,,USTPOR101,,
083,VERKBELEG,1700007517,0003291194,VBAP,0831700007517000010,OIC_AORGIN,U,1,,,,,USTPOR101,,
083,VERKBELEG,1700007517,0003291194,VBAP,0831700007517000010,OIC_DLAND1,U,1,,,,,US,,
083,VERKBELEG,1700007517,0003291194,VBAP,0831700007517000010,OIC_DREGIO,U,1,,,,,TX,,
083,VERKBELEG,1700007517,0003291194,VBAP,0831700007517000010,OIC_OLAND1,U,1,,,,,US,,
083,VERKBELEG,1700007517,0003291194,VBAP,0831700007517000010,OIC_OREGIO,U,1,,,,,TX,,
083,VERKBELEG,1700007517,0003291194,VBEP,08317000075170000100001,WMENG,U,1,BB6,BB6,,,30000.000,31500.000,
083,VERKBELEG,1700007517,0003291194,VBEP,08317000075170000100002,BMENG,U,1,BB6,BB6,,,30000.000,31500.000,
083,VERKBELEG,1700007517,0003291537,KONVC,000010585017ZITR,KBETR,E,1,,,USD,,,0.00,
083,VERKBELEG,1700007517,0003291537,KONVC,000010585017ZITR,KPEIN,E,1,,,,,,1,
